replica,experimento,hiperparametro,valor_hiperparametro,orden_valor,tiempo_entrenamiento,accuracy_train,accuracy_test,error_test,gap_accuracy,f1_test,recall_test,auc_test
17,cantidad_arboles,n_estimators,10,0,0.014988332986831665,0.9986138064873856,0.9941822882999354,0.005817711700064621,0.004431518187450245,0.9878213802435724,0.9785522788203753,0.9981137332097136
18,cantidad_arboles,n_estimators,10,0,0.015155334025621414,0.9983365677848628,0.9851325145442793,0.014867485455720697,0.013204053240583491,0.9686221009549796,0.9517426273458445,0.993344401258729
19,cantidad_arboles,n_estimators,10,0,0.014416999882087111,0.9988910451899086,0.9870717517776342,0.012928248222365823,0.01181929341227439,0.9728260869565217,0.9597855227882037,0.9963439308338395
20,cantidad_arboles,n_estimators,10,0,0.01324466709047556,0.997782090379817,0.9903038138332256,0.009696186166774368,0.007478276546591389,0.9795918367346939,0.9651474530831099,0.9960402099099799
21,cantidad_arboles,n_estimators,10,0,0.013605166925117373,0.9994455225949542,0.9915966386554622,0.008403361344537785,0.007848883939492013,0.9823129251700681,0.967828418230563,0.9925576955574534
22,cantidad_arboles,n_estimators,10,0,0.01313470909371972,0.9991682838924314,0.9903038138332256,0.009696186166774368,0.008864470059205765,0.9796472184531886,0.967828418230563,0.992215153162123
23,cantidad_arboles,n_estimators,10,0,0.013980333926156163,0.9986138064873856,0.9896574014221073,0.010342598577892659,0.008956405065278283,0.978319783197832,0.967828418230563,0.995039986115615
24,cantidad_arboles,n_estimators,10,0,0.013536375015974045,0.9991682838924314,0.9883645765998708,0.011635423400129241,0.010803707292560638,0.9753424657534246,0.9544235924932976,0.9948812748057785
25,cantidad_arboles,n_estimators,10,0,0.015454624779522419,0.9991682838924314,0.9928894634776988,0.007110536522301203,0.0062788204147326,0.9852348993288591,0.9839142091152815,0.9995729638138213
26,cantidad_arboles,n_estimators,10,0,0.013236666796728969,0.9991682838924314,0.995475113122172,0.004524886877828038,0.003693170770259435,0.9906040268456375,0.9892761394101877,0.9967698252120337
27,cantidad_arboles,n_estimators,10,0,0.014571582898497581,0.9983365677848628,0.9922430510665805,0.007756948933419494,0.006093516718282288,0.983739837398374,0.9731903485254692,0.9980943224739782
28,cantidad_arboles,n_estimators,10,0,0.015670916065573692,0.9988910451899086,0.9909502262443439,0.009049773755656076,0.007940818945564643,0.9812332439678284,0.9812332439678284,0.9965448890391001
29,cantidad_arboles,n_estimators,10,0,0.01559399999678135,0.9997227612974772,0.9941822882999354,0.005817711700064621,0.00554047299754179,0.9877883310719131,0.9758713136729222,0.9967789596759092
0,cantidad_arboles,n_estimators,50,1,0.05920579214580357,0.9994455225949542,0.9948287007110537,0.005171299288946329,0.004616821883900557,0.9892183288409704,0.9839142091152815,0.9976478755520642
1,cantidad_arboles,n_estimators,50,1,0.055205499986186624,0.9994455225949542,0.9961215255332903,0.003878474466709747,0.0033239970616639747,0.9919137466307277,0.9865951742627346,0.999438230471658
2,cantidad_arboles,n_estimators,50,1,0.05531137506477535,0.9997227612974772,0.9948287007110537,0.005171299288946329,0.004894060586423499,0.9892183288409704,0.9839142091152815,0.9996871446122648
3,cantidad_arboles,n_estimators,50,1,0.043998291017487645,0.9994455225949542,0.9922430510665805,0.007756948933419494,0.007202471528373722,0.9837837837837838,0.9758713136729222,0.9974195139551771
4,cantidad_arboles,n_estimators,50,1,0.05425679194740951,1.0,0.9922430510665805,0.007756948933419494,0.007756948933419494,0.9838709677419355,0.9812332439678284,0.997765481774461
5,cantidad_arboles,n_estimators,50,1,0.044010958168655634,1.0,0.9948287007110537,0.005171299288946329,0.005171299288946329,0.9891891891891892,0.9812332439678284,0.996221757379505
6,cantidad_arboles,n_estimators,50,1,0.04415712505578995,1.0,0.9928894634776988,0.007110536522301203,0.007110536522301203,0.9851551956815114,0.9785522788203753,0.9958735059442525
7,cantidad_arboles,n_estimators,50,1,0.05268108402378857,1.0,0.9909502262443439,0.009049773755656076,0.009049773755656076,0.9811320754716981,0.9758713136729222,0.9964112975049212
8,cantidad_arboles,n_estimators,50,1,0.05650466703809798,0.9994455225949542,0.9967679379444085,0.003232062055591456,0.0026775846505456835,0.9932885906040269,0.9919571045576407,0.997781467086243
9,cantidad_arboles,n_estimators,50,1,0.055703874910250306,0.9994455225949542,0.9948287007110537,0.005171299288946329,0.004616821883900557,0.9892183288409704,0.9839142091152815,0.9980121122990989
10,cantidad_arboles,n_estimators,50,1,0.04542404203675687,0.9994455225949542,0.995475113122172,0.004524886877828038,0.003970409472782266,0.99055330634278,0.9839142091152815,0.9996129270932765
11,cantidad_arboles,n_estimators,50,1,0.04435916687361896,0.9997227612974772,0.9915966386554622,0.008403361344537785,0.008126122642014955,0.9823609226594301,0.9705093833780161,0.9975668071851693
12,cantidad_arboles,n_estimators,50,1,0.04363345797173679,0.9997227612974772,0.9928894634776988,0.007110536522301203,0.006833297819778372,0.9850340136054422,0.9705093833780161,0.9975439710254805
13,cantidad_arboles,n_estimators,50,1,0.044084624852985144,0.9997227612974772,0.9909502262443439,0.009049773755656076,0.008772535053133246,0.981029810298103,0.9705093833780161,0.9961030093491238
14,cantidad_arboles,n_estimators,50,1,0.05489608319476247,0.9994455225949542,0.9941822882999354,0.005817711700064621,0.005263234295018848,0.9878213802435724,0.9785522788203753,0.9947728030472572
15,cantidad_arboles,n_estimators,50,1,0.04476833390071988,0.9994455225949542,0.9922430510665805,0.007756948933419494,0.007202471528373722,0.9837837837837838,0.9758713136729222,0.9994770519431289
16,cantidad_arboles,n_estimators,50,1,0.04443125007674098,0.9997227612974772,0.9922430510665805,0.007756948933419494,0.007479710230896663,0.9836956521739131,0.9705093833780161,0.9975519636813716
17,cantidad_arboles,n_estimators,50,1,0.04447724996134639,0.9997227612974772,0.9948287007110537,0.005171299288946329,0.004894060586423499,0.989247311827957,0.9865951742627346,0.9993491694488721
18,cantidad_arboles,n_estimators,50,1,0.04333687503822148,1.0,0.9870717517776342,0.012928248222365823,0.012928248222365823,0.9728997289972899,0.9624664879356568,0.9957193618663536
19,cantidad_arboles,n_estimators,50,1,0.05672950018197298,1.0,0.9896574014221073,0.010342598577892659,0.010342598577892659,0.978319783197832,0.967828418230563,0.9975245602897452
20,cantidad_arboles,n_estimators,50,1,0.044557124841958284,0.9997227612974772,0.9922430510665805,0.007756948933419494,0.007479710230896663,0.9837837837837838,0.9758713136729222,0.9960756059574973
21,cantidad_arboles,n_estimators,50,1,0.04268329101614654,1.0,0.9922430510665805,0.007756948933419494,0.007756948933419494,0.9836956521739131,0.9705093833780161,0.9931902571808304
22,cantidad_arboles,n_estimators,50,1,0.05617074994370341,0.9997227612974772,0.9909502262443439,0.009049773755656076,0.008772535053133246,0.981029810298103,0.9705093833780161,0.9959511488871939
23,cantidad_arboles,n_estimators,50,1,0.04474195884540677,0.9997227612974772,0.9928894634776988,0.007110536522301203,0.006833297819778372,0.9851551956815114,0.9785522788203753,0.9978830879968577
24,cantidad_arboles,n_estimators,50,1,0.05355841596610844,1.0,0.9915966386554622,0.008403361344537785,0.008403361344537785,0.9823129251700681,0.967828418230563,0.9943571849409227
25,cantidad_arboles,n_estimators,50,1,0.05664579197764397,1.0,0.9948287007110537,0.005171299288946329,0.005171299288946329,0.9892761394101877,0.9892761394101877,0.9996072180533544
26,cantidad_arboles,n_estimators,50,1,0.0534512500744313,0.9997227612974772,0.9974143503555268,0.0025856496444731647,0.002308410941950334,0.9946236559139785,0.9919571045576407,0.9980577846184763
27,cantidad_arboles,n_estimators,50,1,0.053718458162620664,0.9994455225949542,0.9928894634776988,0.007110536522301203,0.0065560591172554306,0.9851150202976996,0.9758713136729222,0.9994268123918137
28,cantidad_arboles,n_estimators,50,1,0.05635183397680521,0.9997227612974772,0.9941822882999354,0.005817711700064621,0.00554047299754179,0.9879518072289156,0.9892761394101877,0.9989415439984288
29,cantidad_arboles,n_estimators,50,1,0.053617917001247406,0.9997227612974772,0.9941822882999354,0.005817711700064621,0.00554047299754179,0.9878213802435724,0.9785522788203753,0.9961738014441588
0,cantidad_arboles,n_estimators,100,2,0.09761566715314984,0.9997227612974772,0.9948287007110537,0.005171299288946329,0.004894060586423499,0.9891891891891892,0.9812332439678284,0.9976661444798149
1,cantidad_arboles,n_estimators,100,2,0.0965396671090275,0.9994455225949542,0.9948287007110537,0.005171299288946329,0.004616821883900557,0.9892183288409704,0.9839142091152815,0.999501029910802
2,cantidad_arboles,n_estimators,100,2,0.08743704110383987,0.9997227612974772,0.9948287007110537,0.005171299288946329,0.004894060586423499,0.9892183288409704,0.9839142091152815,0.9996277705970742
3,cantidad_arboles,n_estimators,100,2,0.09548704186454415,0.9994455225949542,0.9909502262443439,0.009049773755656076,0.008495296350610304,0.981029810298103,0.9705093833780161,0.9973293111244068
4,cantidad_arboles,n_estimators,100,2,0.08542300015687943,1.0,0.9941822882999354,0.005817711700064621,0.005817711700064621,0.9878869448183042,0.9839142091152815,0.9976535845919863
5,cantidad_arboles,n_estimators,100,2,0.08883345895446837,1.0,0.9948287007110537,0.005171299288946329,0.005171299288946329,0.9891891891891892,0.9812332439678284,0.9960493443738553
6,cantidad_arboles,n_estimators,100,2,0.08819270809181035,1.0,0.9928894634776988,0.007110536522301203,0.007110536522301203,0.9851551956815114,0.9785522788203753,0.9980566428104918
7,cantidad_arboles,n_estimators,100,2,0.08474645903334022,1.0,0.9915966386554622,0.008403361344537785,0.008403361344537785,0.9824561403508771,0.9758713136729222,0.9962514443871004
8,cantidad_arboles,n_estimators,100,2,0.09778212499804795,0.9997227612974772,0.9967679379444085,0.003232062055591456,0.002954823353068625,0.9932885906040269,0.9919571045576407,0.9977015405273326
9,cantidad_arboles,n_estimators,100,2,0.0952007919549942,0.9994455225949542,0.9948287007110537,0.005171299288946329,0.004616821883900557,0.9891891891891892,0.9812332439678284,0.9979584473238303
10,cantidad_arboles,n_estimators,100,2,0.085283791879192,0.9994455225949542,0.995475113122172,0.004524886877828038,0.003970409472782266,0.990578734858681,0.9865951742627346,0.9995923745495567
11,cantidad_arboles,n_estimators,100,2,0.09525724989362061,0.9997227612974772,0.9915966386554622,0.008403361344537785,0.008126122642014955,0.9823609226594301,0.9705093833780161,0.9985099405803124
12,cantidad_arboles,n_estimators,100,2,0.10058216704055667,0.9994455225949542,0.9935358758888171,0.006464124111182912,0.005909646706137139,0.9864130434782609,0.9731903485254692,0.9977460710387256
13,cantidad_arboles,n_estimators,100,2,0.10306329187005758,0.9997227612974772,0.9909502262443439,0.009049773755656076,0.008772535053133246,0.981029810298103,0.9705093833780161,0.997361281747971
14,cantidad_arboles,n_estimators,100,2,0.09889291599392891,0.9997227612974772,0.9948287007110537,0.005171299288946329,0.004894060586423499,0.9891891891891892,0.9812332439678284,0.9944039990682847
15,cantidad_arboles,n_estimators,100,2,0.08666095812804997,0.9994455225949542,0.9935358758888171,0.006464124111182912,0.005909646706137139,0.9864864864864865,0.9785522788203753,0.9995661129659148
16,cantidad_arboles,n_estimators,100,2,0.086892917053774,0.9997227612974772,0.9928894634776988,0.007110536522301203,0.006833297819778372,0.9850746268656716,0.9731903485254692,0.9974777461623834
17,cantidad_arboles,n_estimators,100,2,0.09470374998636544,0.9997227612974772,0.9941822882999354,0.005817711700064621,0.00554047299754179,0.9879194630872483,0.9865951742627346,0.9993982671922028
18,cantidad_arboles,n_estimators,100,2,0.09556270902976394,1.0,0.9896574014221073,0.010342598577892659,0.010342598577892659,0.9782608695652174,0.9651474530831099,0.9958038556572018
19,cantidad_arboles,n_estimators,100,2,0.08612937503494322,1.0,0.9909502262443439,0.009049773755656076,0.009049773755656076,0.981029810298103,0.9705093833780161,0.997518851249823
20,cantidad_arboles,n_estimators,100,2,0.09474579198285937,1.0,0.9922430510665805,0.007756948933419494,0.007756948933419494,0.9837837837837838,0.9758713136729222,0.995914611031692
21,cantidad_arboles,n_estimators,100,2,0.09562491695396602,1.0,0.9928894634776988,0.007110536522301203,0.007110536522301203,0.9850746268656716,0.9731903485254692,0.9939358577946665
22,cantidad_arboles,n_estimators,100,2,0.08504883316345513,0.9997227612974772,0.9896574014221073,0.010342598577892659,0.010065359875369828,0.9782608695652174,0.9651474530831099,0.9970016122328741
23,cantidad_arboles,n_estimators,100,2,0.09452912490814924,0.9997227612974772,0.9935358758888171,0.006464124111182912,0.006186885408660081,0.9865229110512129,0.9812332439678284,0.9978671026850756
24,cantidad_arboles,n_estimators,100,2,0.08803725009784102,1.0,0.9928894634776988,0.007110536522301203,0.007110536522301203,0.9850746268656716,0.9731903485254692,0.995195272001498
25,cantidad_arboles,n_estimators,100,2,0.09673333284445107,1.0,0.9948287007110537,0.005171299288946329,0.005171299288946329,0.9892761394101877,0.9892761394101877,0.9996985626921092
26,cantidad_arboles,n_estimators,100,2,0.08660970791243017,0.9997227612974772,0.9974143503555268,0.0025856496444731647,0.002308410941950334,0.9946236559139785,0.9919571045576407,0.9980235303789431
27,cantidad_arboles,n_estimators,100,2,0.09968833322636783,0.9994455225949542,0.9941822882999354,0.005817711700064621,0.005263234295018848,0.9878542510121457,0.9812332439678284,0.9994656338632845
28,cantidad_arboles,n_estimators,100,2,0.08779666689224541,0.9997227612974772,0.9941822882999354,0.005817711700064621,0.00554047299754179,0.9879518072289156,0.9892761394101877,0.9991002553082653
29,cantidad_arboles,n_estimators,100,2,0.09806466684676707,0.9997227612974772,0.9948287007110537,0.005171299288946329,0.004894060586423499,0.9891891891891892,0.9812332439678284,0.9960162319423067
0,cantidad_arboles,n_estimators,300,3,0.2651595831848681,0.9997227612974772,0.9948287007110537,0.005171299288946329,0.004894060586423499,0.989159891598916,0.9785522788203753,0.9977038241433015
1,cantidad_arboles,n_estimators,300,3,0.25873525021597743,0.9994455225949542,0.9948287007110537,0.005171299288946329,0.004616821883900557,0.9892183288409704,0.9839142091152815,0.9994473649355334
2,cantidad_arboles,n_estimators,300,3,0.252575458958745,0.9997227612974772,0.9948287007110537,0.005171299288946329,0.004894060586423499,0.9892183288409704,0.9839142091152815,0.9996209197491677
3,cantidad_arboles,n_estimators,300,3,0.26430449984036386,0.9994455225949542,0.9909502262443439,0.009049773755656076,0.008495296350610304,0.981081081081081,0.9731903485254692,0.9974343574589749
4,cantidad_arboles,n_estimators,300,3,0.27516854205168784,1.0,0.9928894634776988,0.007110536522301203,0.007110536522301203,0.9851551956815114,0.9785522788203753,0.9974138049152549
5,cantidad_arboles,n_estimators,300,3,0.2547266250476241,1.0,0.9948287007110537,0.005171299288946329,0.005171299288946329,0.9891891891891892,0.9812332439678284,0.9958301172408439
6,cantidad_arboles,n_estimators,300,3,0.2606106249149889,1.0,0.9948287007110537,0.005171299288946329,0.005171299288946329,0.989247311827957,0.9865951742627346,0.9989883581257908
7,cantidad_arboles,n_estimators,300,3,0.25253450009040534,1.0,0.9922430510665805,0.007756948933419494,0.007756948933419494,0.9838274932614556,0.9785522788203753,0.9968782969705551
8,cantidad_arboles,n_estimators,300,3,0.25847183307632804,0.9997227612974772,0.9967679379444085,0.003232062055591456,0.002954823353068625,0.9932885906040269,0.9919571045576407,0.997728943918959
9,cantidad_arboles,n_estimators,300,3,0.2578100000973791,0.9994455225949542,0.9948287007110537,0.005171299288946329,0.004616821883900557,0.9891891891891892,0.9812332439678284,0.9977335111508969
10,cantidad_arboles,n_estimators,300,3,0.39882824989035726,0.9994455225949542,0.995475113122172,0.004524886877828038,0.003970409472782266,0.990578734858681,0.9865951742627346,0.9995604039259925
11,cantidad_arboles,n_estimators,300,3,0.26032908307388425,0.9997227612974772,0.9922430510665805,0.007756948933419494,0.007479710230896663,0.983739837398374,0.9731903485254692,0.9982952806792387
12,cantidad_arboles,n_estimators,300,3,0.2655382079537958,0.9997227612974772,0.9948287007110537,0.005171299288946329,0.004894060586423499,0.989159891598916,0.9785522788203753,0.9976273230083443
13,cantidad_arboles,n_estimators,300,3,0.2595270830206573,0.9997227612974772,0.9928894634776988,0.007110536522301203,0.006833297819778372,0.9851551956815114,0.9785522788203753,0.9972608026453407
14,cantidad_arboles,n_estimators,300,3,0.27352808392606676,0.9997227612974772,0.9941822882999354,0.005817711700064621,0.00554047299754179,0.9878213802435724,0.9785522788203753,0.9961943539878786
15,cantidad_arboles,n_estimators,300,3,0.26222908310592175,0.9994455225949542,0.9941822882999354,0.005817711700064621,0.005263234295018848,0.9878542510121457,0.9812332439678284,0.9995604039259927
16,cantidad_arboles,n_estimators,300,3,0.26530995895154774,0.9997227612974772,0.9928894634776988,0.007110536522301203,0.006833297819778372,0.9850746268656716,0.9731903485254692,0.9973430128202201
17,cantidad_arboles,n_estimators,300,3,0.2698377089109272,0.9997227612974772,0.9941822882999354,0.005817711700064621,0.00554047299754179,0.9879194630872483,0.9865951742627346,0.9993366095610433
18,cantidad_arboles,n_estimators,300,3,0.25272874999791384,1.0,0.9903038138332256,0.009696186166774368,0.009696186166774368,0.9796472184531886,0.967828418230563,0.9953220126877702
19,cantidad_arboles,n_estimators,300,3,0.2642381249461323,1.0,0.9909502262443439,0.009049773755656076,0.009049773755656076,0.981029810298103,0.9705093833780161,0.9973989614114571
20,cantidad_arboles,n_estimators,300,3,0.2609050839673728,1.0,0.9922430510665805,0.007756948933419494,0.007756948933419494,0.9837837837837838,0.9758713136729222,0.995641718923412
21,cantidad_arboles,n_estimators,300,3,0.3153077499009669,1.0,0.9928894634776988,0.007110536522301203,0.007110536522301203,0.9850746268656716,0.9731903485254692,0.993801124452503
22,cantidad_arboles,n_estimators,300,3,0.26729695801623166,0.9997227612974772,0.9903038138332256,0.009696186166774368,0.009418947464251537,0.9795918367346939,0.9651474530831099,0.9967972286036602
23,cantidad_arboles,n_estimators,300,3,0.26319937501102686,0.9997227612974772,0.9928894634776988,0.007110536522301203,0.006833297819778372,0.9851551956815114,0.9785522788203753,0.9977574891185699
24,cantidad_arboles,n_estimators,300,3,0.26832741615362465,1.0,0.9928894634776988,0.007110536522301203,0.007110536522301203,0.9850746268656716,0.9731903485254692,0.9952169663532023
25,cantidad_arboles,n_estimators,300,3,0.2754366670269519,1.0,0.9948287007110537,0.005171299288946329,0.005171299288946329,0.9892761394101877,0.9892761394101877,0.9997019881160625
26,cantidad_arboles,n_estimators,300,3,0.26815841696225107,0.9997227612974772,0.9974143503555268,0.0025856496444731647,0.002308410941950334,0.9946236559139785,0.9919571045576407,0.9978385574854647
27,cantidad_arboles,n_estimators,300,3,0.269419833086431,0.9994455225949542,0.9941822882999354,0.005817711700064621,0.005263234295018848,0.9878542510121457,0.9812332439678284,0.9995067389507242
28,cantidad_arboles,n_estimators,300,3,0.2627834999002516,0.9997227612974772,0.9935358758888171,0.006464124111182912,0.006186885408660081,0.9865951742627346,0.9865951742627346,0.9993023553215102
29,cantidad_arboles,n_estimators,300,3,0.25399483391083777,0.9997227612974772,0.9948287007110537,0.005171299288946329,0.004894060586423499,0.9891891891891892,0.9812332439678284,0.9956303008435679
0,cantidad_arboles,n_estimators,500,4,0.42018549982458353,0.9997227612974772,0.9935358758888171,0.006464124111182912,0.006186885408660081,0.986449864498645,0.9758713136729222,0.9976113376965621
1,cantidad_arboles,n_estimators,500,4,0.4202172919176519,0.9994455225949542,0.9948287007110537,0.005171299288946329,0.004616821883900557,0.9892183288409704,0.9839142091152815,0.999482760983051
2,cantidad_arboles,n_estimators,500,4,0.43230245914310217,0.9997227612974772,0.9948287007110537,0.005171299288946329,0.004894060586423499,0.9892183288409704,0.9839142091152815,0.9996471813328097
3,cantidad_arboles,n_estimators,500,4,0.41728425002656877,0.9994455225949542,0.9915966386554622,0.008403361344537785,0.007848883939492013,0.9824561403508771,0.9758713136729222,0.9981993688085462
4,cantidad_arboles,n_estimators,500,4,0.40661087492480874,1.0,0.9922430510665805,0.007756948933419494,0.007756948933419494,0.9837837837837838,0.9758713136729222,0.9973567145160332
5,cantidad_arboles,n_estimators,500,4,0.411476916866377,1.0,0.9948287007110537,0.005171299288946329,0.005171299288946329,0.9891891891891892,0.9812332439678284,0.9956793985868984
6,cantidad_arboles,n_estimators,500,4,0.44557562517002225,1.0,0.9948287007110537,0.005171299288946329,0.005171299288946329,0.989247311827957,0.9865951742627346,0.9990739937246234
7,cantidad_arboles,n_estimators,500,4,0.4088897919282317,1.0,0.9922430510665805,0.007756948933419494,0.007756948933419494,0.9838274932614556,0.9785522788203753,0.9968657370827263
8,cantidad_arboles,n_estimators,500,4,0.41920137498527765,0.9997227612974772,0.9967679379444085,0.003232062055591456,0.002954823353068625,0.9932885906040269,0.9919571045576407,0.9976250393923756
9,cantidad_arboles,n_estimators,500,4,0.4161203328985721,0.9994455225949542,0.9948287007110537,0.005171299288946329,0.004616821883900557,0.9891891891891892,0.9812332439678284,0.9985407693958922
10,cantidad_arboles,n_estimators,500,4,0.42463941709138453,0.9994455225949542,0.995475113122172,0.004524886877828038,0.003970409472782266,0.990578734858681,0.9865951742627346,0.9995078807587086
11,cantidad_arboles,n_estimators,500,4,0.4077430001925677,0.9997227612974772,0.9922430510665805,0.007756948933419494,0.007479710230896663,0.983739837398374,0.9731903485254692,0.9981742490328885
12,cantidad_arboles,n_estimators,500,4,0.4167210420127958,0.9997227612974772,0.9948287007110537,0.005171299288946329,0.004894060586423499,0.989159891598916,0.9785522788203753,0.9975051495540098
13,cantidad_arboles,n_estimators,500,4,0.43040266702882946,0.9997227612974772,0.9928894634776988,0.007110536522301203,0.006833297819778372,0.9851551956815114,0.9785522788203753,0.9971306365351151
14,cantidad_arboles,n_estimators,500,4,0.42116183298639953,0.9997227612974772,0.9941822882999354,0.005817711700064621,0.00554047299754179,0.9878213802435724,0.9785522788203753,0.9960185155582755
15,cantidad_arboles,n_estimators,500,4,0.4196179579012096,0.9994455225949542,0.9935358758888171,0.006464124111182912,0.005909646706137139,0.9864864864864865,0.9785522788203753,0.9995843818936657
16,cantidad_arboles,n_estimators,500,4,0.4188931668177247,0.9997227612974772,0.9928894634776988,0.007110536522301203,0.006833297819778372,0.9850746268656716,0.9731903485254692,0.9972699371092162
17,cantidad_arboles,n_estimators,500,4,0.4229963328689337,0.9997227612974772,0.995475113122172,0.004524886877828038,0.0042476481753052076,0.9906040268456375,0.9892761394101877,0.9992897954336815
18,cantidad_arboles,n_estimators,500,4,0.40298354206606746,1.0,0.9896574014221073,0.010342598577892659,0.010342598577892659,0.9782608695652174,0.9651474530831099,0.9951187708665409
19,cantidad_arboles,n_estimators,500,4,0.4208229591604322,1.0,0.9909502262443439,0.009049773755656076,0.009049773755656076,0.981029810298103,0.9705093833780161,0.9973510054761111
20,cantidad_arboles,n_estimators,500,4,0.4138925839215517,1.0,0.9909502262443439,0.009049773755656076,0.009049773755656076,0.981029810298103,0.9705093833780161,0.9962754223547734
21,cantidad_arboles,n_estimators,500,4,0.41392125003039837,1.0,0.9922430510665805,0.007756948933419494,0.007756948933419494,0.9836956521739131,0.9705093833780161,0.9946905928723778
22,cantidad_arboles,n_estimators,500,4,0.4066637910436839,0.9997227612974772,0.9903038138332256,0.009696186166774368,0.009418947464251537,0.9795918367346939,0.9651474530831099,0.9964969331037539
23,cantidad_arboles,n_estimators,500,4,0.4187187908682972,0.9997227612974772,0.9922430510665805,0.007756948933419494,0.007479710230896663,0.9838274932614556,0.9785522788203753,0.9985510456677521
24,cantidad_arboles,n_estimators,500,4,0.4414641249459237,1.0,0.9928894634776988,0.007110536522301203,0.007110536522301203,0.9850746268656716,0.9731903485254692,0.995082233011039
25,cantidad_arboles,n_estimators,500,4,0.42021479178220034,1.0,0.9948287007110537,0.005171299288946329,0.005171299288946329,0.9892761394101877,0.9892761394101877,0.9996997045000936
26,cantidad_arboles,n_estimators,500,4,0.42206420795992017,0.9997227612974772,0.9974143503555268,0.0025856496444731647,0.002308410941950334,0.9946236559139785,0.9919571045576407,0.9977494964626787
27,cantidad_arboles,n_estimators,500,4,0.4211510408204049,0.9994455225949542,0.9941822882999354,0.005817711700064621,0.005263234295018848,0.9878542510121457,0.9812332439678284,0.9995067389507243
28,cantidad_arboles,n_estimators,500,4,0.42156675015576184,0.9997227612974772,0.9948287007110537,0.005171299288946329,0.004894060586423499,0.9892761394101877,0.9892761394101877,0.9992681010819773
29,cantidad_arboles,n_estimators,500,4,0.41582841612398624,0.9997227612974772,0.9948287007110537,0.005171299288946329,0.004894060586423499,0.9891891891891892,0.9812332439678284,0.9954898584614822
0,profundidad_maxima,max_depth,2,0,0.0709373748395592,0.9747712780704186,0.9767291531997414,0.023270846800258593,-0.0019578751293227725,0.9497206703910615,0.9115281501340483,0.9954282008303228
