experimento,hiperparametro,valor_hiperparametro,metrica,estimacion_original,SE_bootstrap,sesgo_bootstrap,|sesgo|/SE
cantidad_arboles,n_estimators,10,accuracy_test,0.9909071320836027,0.000427843155850525,3.576815341466144e-06,0.008360108821550884
cantidad_arboles,n_estimators,10,error_test,0.009092867916397296,0.0004225117249810482,1.1333764274940733e-05,0.026824733149001037
cantidad_arboles,n_estimators,10,f1_test,0.9809083177287131,0.0008777050756727605,2.532059062387848e-05,0.028848631876111985
cantidad_arboles,n_estimators,10,recall_test,0.9697050938337802,0.0016920703085406066,2.1715817694389905e-05,0.012833874328259784
cantidad_arboles,n_estimators,10,auc_test,0.9962469152154286,0.00034480568019691036,1.3215856516035629e-05,0.03832841880240594
cantidad_arboles,n_estimators,10,gap_accuracy,0.00797467181622173,0.0004064305915422541,1.5380744437000493e-06,0.003784347132590646
cantidad_arboles,n_estimators,100,accuracy_test,0.9934927817280759,0.00035075148679208576,2.072829131649634e-05,0.05909680242861923
cantidad_arboles,n_estimators,100,error_test,0.006507218271924131,0.0003407358871891171,5.386770092650692e-07,0.0015809224373424737
cantidad_arboles,n_estimators,100,f1_test,0.9863925241558232,0.0007292435024515211,2.43337653987874e-05,0.033368504919116596
cantidad_arboles,n_estimators,100,recall_test,0.9789991063449508,0.0013276511192705312,2.645218945496186e-05,0.019924051636017025
cantidad_arboles,n_estimators,100,auc_test,0.9975797476756596,0.0002872874741622365,8.792225962284128e-06,0.030604278825323922
cantidad_arboles,n_estimators,100,gap_accuracy,0.006257703439653557,0.0003697594189751519,4.784987079219441e-06,0.012940811872978943
cantidad_arboles,n_estimators,300,accuracy_test,0.9936651583710407,0.00031073653938934643,-5.171299288786457e-07,0.001664207015676044
cantidad_arboles,n_estimators,300,error_test,0.0063348416289592535,0.0003066877516510739,1.6849816849817158e-05,0.05494127743643184
cantidad_arboles,n_estimators,300,f1_test,0.9867591163110749,0.0006556680891626993,-2.0379490601296624e-05,0.03108202295969844
cantidad_arboles,n_estimators,300,recall_test,0.9796246648793566,0.0011711118254612073,-2.8328865058213637e-05,0.02418971821675284
cantidad_arboles,n_estimators,300,auc_test,0.9975957710477078,0.0002706202027380883,-4.885568003820673e-06,0.018053227195861
cantidad_arboles,n_estimators,300,gap_accuracy,0.006094568086772778,0.00032430471029772567,-6.549786748420543e-06,0.02019639721670264
cantidad_arboles,n_estimators,50,accuracy_test,0.9931695755225167,0.0003940940646309444,8.058608058636452e-06,0.020448438030100914
cantidad_arboles,n_estimators,50,error_test,0.006830424477483277,0.0004001369603017162,-1.7668605903900167e-06,0.004415639557659824
cantidad_arboles,n_estimators,50,f1_test,0.9857166532985874,0.0008386971543191464,-2.0336894005934525e-05,0.024248197220180144
cantidad_arboles,n_estimators,50,recall_test,0.97828418230563,0.0013908968977921511,-5.7908847184928725e-05,0.04163417667898368
cantidad_arboles,n_estimators,50,auc_test,0.9973714818992986,0.000310686318211626,-1.1234591301145791e-05,0.036160560161819795
cantidad_arboles,n_estimators,50,gap_accuracy,0.006553185774960413,0.00040589864852310547,3.687806401483397e-06,0.009085535058817698
cantidad_arboles,n_estimators,500,accuracy_test,0.9935789700495583,0.0003286477494441987,-9.674639086298953e-06,0.02943771592125756
cantidad_arboles,n_estimators,500,error_test,0.006421029950441692,0.000337644858710131,7.067442361560067e-06,0.020931585893412003
cantidad_arboles,n_estimators,500,f1_test,0.9865739291499587,0.0007050022524791586,1.049107418193973e-05,0.014880908741848125
cantidad_arboles,n_estimators,500,recall_test,0.9792672028596962,0.0013674941124793957,-1.7426273458465147e-05,0.01274321644198502
cantidad_arboles,n_estimators,500,auc_test,0.9976614250068129,0.0002714555283776722,-3.190592111290691e-06,0.011753645727382887
cantidad_arboles,n_estimators,500,gap_accuracy,0.006180756408255217,0.00035669088876193384,2.204170145590767e-06,0.006179496631499034
minimo_muestras_hoja,min_samples_leaf,1,accuracy_test,0.9934927817280759,0.000344267430590129,-1.0385692738590357e-05,0.03016751459987845
minimo_muestras_hoja,min_samples_leaf,1,error_test,0.006507218271924131,0.00034861556580408304,-1.3639301874595819e-05,0.039124190691648325
minimo_muestras_hoja,min_samples_leaf,1,f1_test,0.9863925241558232,0.0006957655552963062,1.0833125347664563e-05,0.015570079986283672
minimo_muestras_hoja,min_samples_leaf,1,recall_test,0.9789991063449508,0.001353406245562629,3.9052725647859e-05,0.028855139228077274
minimo_muestras_hoja,min_samples_leaf,1,auc_test,0.9975797476756596,0.0002853179961929175,-1.154710414619231e-06,0.004047099832561823
minimo_muestras_hoja,min_samples_leaf,1,gap_accuracy,0.006257703439653557,0.0003674179994262475,-5.793757224788545e-07,0.0015768844296784477
minimo_muestras_hoja,min_samples_leaf,10,accuracy_test,0.9908209437621203,0.0005557000453898911,-6.464124113758629e-08,0.00011632398030889598
minimo_muestras_hoja,min_samples_leaf,10,error_test,0.009179056237879738,0.0005625423324320211,1.1570782159017051e-05,0.020568731439274023
minimo_muestras_hoja,min_samples_leaf,10,f1_test,0.9807203175083025,0.0010855904865638825,-3.9227574895717154e-05,0.036134781375876376
minimo_muestras_hoja,min_samples_leaf,10,recall_test,0.9692582663092046,0.0018007754738184186,3.020554066135439e-05,0.016773629528230773
minimo_muestras_hoja,min_samples_leaf,10,auc_test,0.9970958494518559,0.00031309576817757043,6.155867446788754e-06,0.019661292398233533
